id,NAME,Address,District,Test Type,geometry,FullAddress
27,ASTER KOCHI,ASTER KOCHI,Ernakulam,ANTIGEN,POINT(76.2766858008398 10.03295025),ASTER KOCHI  Ernakulam
28,Lakeshore Hospital,Lakeshore Hospital  Ernakulam,Ernakulam,ANTIGEN,POINT(76.3174647 9.9179841),Lakeshore Hospital  Ernakulam  Ernakulam
29,AIMS Kochi,AIMS Kochi,Ernakulam,ANTIGEN,POINT(76.332486 9.956297),AIMS Kochi  Ernakulam
30,Rajagiri Hospital Aluva,Rajagiri Hospital Aluva,Ernakulam,ANTIGEN,POINT(76.3882425458754 10.08773905),Rajagiri Hospital Aluva  Ernakulam
31,DDRC,DDRC  Kochi,Ernakulam,ANTIGEN,POINT(76.2735442205434 9.9220467),DDRC  Kochi  Ernakulam
32,Vijaya Kumara Menon Hospital,Vijaya Kumara Menon Hospital  Ernakulam,Ernakulam,ANTIGEN,POINT(76.3407151049773 9.9527732),Vijaya Kumara Menon Hospital  Ernakulam  Ernakulam
33,Medical Trust Hospital,Medical Trust Hospital  Ernakulam,Ernakulam,ANTIGEN,POINT(76.2005668922147 10.1152829),Medical Trust Hospital  Ernakulam  Ernakulam
34,POLAKULATH NARAYANAN RENAI MEDICITY,POLAKULATH NARAYANAN RENAI MEDICITY  Kochi,Ernakulam,ANTIGEN,POINT( 76.3033111 10.0077444 ),POLAKULATH NARAYANAN RENAI MEDICITY  Kochi
35,CIMAR Cochin Hospitals,CIMAR Cochin Hospitals  Ernakulam,Ernakulam,ANTIGEN,POINT(76.296743 10.0515389),CIMAR Cochin Hospitals  Ernakulam  Ernakulam
36,SREE SUDHEENDRA MEDICAL MISSION ERNAKULAM,SREE SUDHEENDRA MEDICAL MISSION ERNAKULAM,Ernakulam,ANTIGEN,POINT(76.2832964 9.9849328),SREE SUDHEENDRA MEDICAL MISSION ERNAKULAM  Ernakulam
37,Alpha ENT head&neck Research Institute,Alpha ENT head&neck Research Institute  Ernakulam,Ernakulam,ANTIGEN,POINT(76.2953791 10.0032624),Alpha ENT head&neck Research Institute  Ernakulam  Ernakulam
38,Mar Baselios Medical Mission Hospital Kothamangalam,Mar Baselios Medical Mission Hospital Kothamangalam,Ernakulam,ANTIGEN,POINT(76.6223951 10.0645781),Mar Baselios Medical Mission Hospital Kothamangalam  Ernakulam
39,Little Flower Hospital & Research Centre,Little Flower Hospital & Research Centre  Angamaly,Ernakulam,ANTIGEN,POINT(77.6824995 12.9808263),Little Flower Hospital & Research Centre  Angamaly  Ernakulam
40,St Joseph Hospital,St Joseph Hospital  Dharmagiri  Ernakulam,Ernakulam,ANTIGEN,POINT(76.301414 10.060191),St Joseph Hospital  Dharmagiri  Ernakulam  Ernakulam
41,Sabine Hospital & Research Centre Pvt Ltd,Sabine Hospital & Research Centre Pvt Ltd  Pezhakkappilly P.O  Muvattupuzha  Ernakulam,Ernakulam,ANTIGEN,POINT(76.5678704787855 10.01412425),Sabine Hospital & Research Centre Pvt Ltd  Pezhakkappilly P.O  Muvattupuzha  Ernakulam  Ernakulam
42,Microlab Speciality Health Care Services,Microlab Speciality Health Care Services  Kozhenchery,Ernakulam,ANTIGEN,POINT(76.388793 10.0877),Microlab Speciality Health Care Services  Kozhenchery  Ernakulam
43,E.S.I.C. Hospital,E.S.I.C. Hospital  Udyogmandal  Ernakulam,Ernakulam,ANTIGEN,POINT(76.317793 10.077815),E.S.I.C. Hospital  Udyogmandal  Ernakulam  Ernakulam
44,Samaritan Hospital,Samaritan Hospital  Pazhanganad  Ernakulam,Ernakulam,ANTIGEN,POINT(76.396719 10.043822),Samaritan Hospital  Pazhanganad  Ernakulam  Ernakulam
45,Sanjoe Hospital,Sanjoe Hospital  A M Road Perumbavoor  Ernakulam,Ernakulam,ANTIGEN,POINT(76.445404 10.178707),Sanjoe Hospital  A M Road Perumbavoor  Ernakulam  Ernakulam
46,St Joseph hospital trust,St Joseph hospital trust  Manjummel  Ernakulam,Ernakulam,ANTIGEN,POINT(76.577693 9.988819),St Joseph hospital trust  Manjummel  Ernakulam  Ernakulam
47,Lisie Hospital,Lisie Hospital  Ernakulam,Ernakulam,ANTIGEN,POINT(76.2889878518103 9.98937165),Lisie Hospital  Ernakulam  Ernakulam
48,Carmel Hospital,Carmel Hospital  Asokapuram  Aluva,Ernakulam,ANTIGEN,POINT(76.362071 10.090557),Carmel Hospital  Asokapuram  Aluva  Ernakulam
49,P S Mission Hospital Maradu,P S Mission Hospital Maradu,Ernakulam,ANTIGEN,POINT(76.3227155 9.9377796),P S Mission Hospital Maradu  Ernakulam
50,MAGJ,MAGJ  Hospital  Mookkannoor  Angamaly,Ernakulam,ANTIGEN,POINT(76.413623 10.220984),MAGJ  Hospital  Mookkannoor  Angamaly  Ernakulam
51,Sunrise Hospital,Sunrise Hospital Seaport-Airport Road  Mavelipuram  Kakkanad,Ernakulam,ANTIGEN,POINT(76.33888 10.025232),Sunrise Hospital Seaport-Airport Road  Mavelipuram  Kakkanad  Ernakulam
52,Kinder Multispeciality Hospital,Kinder Multispeciality Hospital Kochi,Ernakulam,ANTIGEN,POINT(76.315859 10.038155),Kinder Multispeciality Hospital Kochi  Ernakulam
53,Indira Gandhi Co-operative Hospital ,Indira Gandhi Co-operative Hospital  Kadavanthra  Ernakulam,Ernakulam,ANTIGEN,POINT(76.298569 9.968895),Indira Gandhi Co-operative Hospital  Kadavanthra  Ernakulam  Ernakulam
54,Nirmala Medical Centre,Nirmala Medical Centre  Muvattupuzha,Ernakulam,ANTIGEN,POINT(76.5924778317561 9.97971435),Nirmala Medical Centre  Muvattupuzha  Ernakulam
55,Specialists Hospital,Specialists Hospital  K.C.M Mather road  Ernakulam,Ernakulam,ANTIGEN,POINT(76.2860182 9.9905344),Specialists Hospital  K.C.M Mather road  Ernakulam  Ernakulam
56,Neuberg Diagnostics,Neuberg Diagnostics  Kaloor  Kochi,Ernakulam,ANTIGEN,POINT( 76.2914944 9.9951444 ),Neuberg Diagnostics  Kaloor  Kochi
57,Vivid Diagnostic Centre,Vivid Diagnostic Centre  Chalikkavattom  Vytila,Ernakulam,ANTIGEN,POINT(76.282025 9.979982),Vivid Diagnostic Centre  Chalikkavattom  Vytila  Ernakulam
58,Sree Narayana Institute of medical sciences,Sree Narayana Institute of medical sciences Chalakka,Ernakulam,ANTIGEN,POINT(76.354024 10.048027),Sree Narayana Institute of medical sciences Chalakka  Ernakulam
59,Hi Tech Diagnostic Centre Palarivattom,Hi Tech Diagnostic Centre Palarivattom,Ernakulam,ANTIGEN,POINT(76.289241 10.018896),Hi Tech Diagnostic Centre Palarivattom  Ernakulam
60,Devi Hospital Pvt Ltd,Devi Hospital Pvt Ltd North Fort Gate Tripunithura ,Ernakulam,ANTIGEN,POINT(76.477804 10.052821),Devi Hospital Pvt Ltd North Fort Gate Tripunithura   Ernakulam
61,Sreekantapuram Hospital,Sreekantapuram Hospital  Mavelikkara,Ernakulam,ANTIGEN,POINT(76.289097 9.989392),Sreekantapuram Hospital  Mavelikkara  Ernakulam
62,V S M Hospital,V S M Hospital  Thattarambalam  Mavelikkara,Ernakulam,ANTIGEN,POINT(76.526625 9.854811),V S M Hospital  Thattarambalam  Mavelikkara  Ernakulam
63,M A J Hospital,M A J Hospital  Edappally  Kochi,Ernakulam,ANTIGEN,POINT(76.308035 10.021238),M A J Hospital  Edappally  Kochi  Ernakulam
64,Don Bosco Hospital,Don Bosco Hospital  North Paravur  Ernakulam,Ernakulam,ANTIGEN,POINT(76.314588 9.998119),Don Bosco Hospital  North Paravur  Ernakulam  Ernakulam
65,MOSC Medical College Hospital,MOSC Medical College Hospital  Kolenchery  Ernakulam  Kerala,Ernakulam,ANTIGEN,POINT(76.355734 10.052955),MOSC Medical College Hospital  Kolenchery  Ernakulam  Kerala  Ernakulam
66,Doctor's Diagnostic Centre Pvt Ltd,Doctor's Diagnostic Centre Pvt Ltd  CGN Building  Thripunithura Ernakulam,Ernakulam,ANTIGEN,POINT(76.331452 9.95061),Doctor's Diagnostic Centre Pvt Ltd  CGN Building  Thripunithura Ernakulam  Ernakulam
67,EI Lab Metropolis,EI Lab Metropolis  North Square Building Opp Town Hall  Ernakulam North,Ernakulam,ANTIGEN,POINT(76.526625 9.854811),EI Lab Metropolis  North Square Building Opp Town Hall  Ernakulam North  Ernakulam
68,Akshaya Hospital,Akshaya Hospital  Kaloor  Kadavanthra  Kochi,Ernakulam,ANTIGEN,POINT(76.299662 9.969025),Akshaya Hospital  Kaloor  Kadavanthra  Kochi  Ernakulam
69,AP Varkey Mission Hospital,AP Varkey Mission Hospital Thottapady  Arakkunnam  Mulanthuruthy,Ernakulam,ANTIGEN,POINT(76.447221 9.88593),AP Varkey Mission Hospital Thottapady  Arakkunnam  Mulanthuruthy  Ernakulam
70,Ernaklam Medical Centre Hospital (P) Ltd,Ernaklam Medical Centre Hospital (P Ltd  NH Bypass  Pallarivattom  Cochin,Ernakulam,ANTIGEN,POINT(76.477804 10.052821),Ernaklam Medical Centre Hospital (P Ltd  NH Bypass  Pallarivattom  Cochin  Ernakulam
71,Dr. Lal PathLabs Ltd. ,Dr. Lal PathLabs Ltd. Opp College Ground M.G. Road Ernakulam Cochin,Ernakulam,ANTIGEN,POINT(76.477804 10.052821),Dr. Lal PathLabs Ltd. Opp College Ground M.G. Road Ernakulam Cochin  Ernakulam
72,B and B Memorial Hospital,B and B Memorial Hospital  Thrikkakara  Ernakulam,Ernakulam,ANTIGEN,POINT(76.283359 9.99327),B and B Memorial Hospital  Thrikkakara  Ernakulam  Ernakulam
73,Gautham Hospital,Gautham Hospital  Panayappilly  Kochi,Ernakulam,ANTIGEN,POINT(76.2560419 9.9468667),Gautham Hospital  Panayappilly  Kochi  Ernakulam
74,Lakshmi Hospital,Lakshmi Hospital  Diwans Road  Ernakulam,Ernakulam,ANTIGEN,POINT(76.2836928670294 9.96636565),Lakshmi Hospital  Diwans Road  Ernakulam  Ernakulam
75,Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993,Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993  Kakkanad,Ernakulam,ANTIGEN,POINT( 76.3434944 10.0189611 ),Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993  Kakkanad
76,Medical Trust Hospital,Medical Trust Hospital  Kuzhuppilly  Ayyampilly  Ernakulam,Ernakulam,ANTIGEN,POINT(76.317804 10.044187),Medical Trust Hospital  Kuzhuppilly  Ayyampilly  Ernakulam  Ernakulam
77,Karothukuzhi Hospital,Karothukuzhi Hospital  Aluva Ernakulam,Ernakulam,ANTIGEN,POINT(76.350946215239 10.1052629),Karothukuzhi Hospital  Aluva Ernakulam  Ernakulam
78,KRISHNA HOSPITAL,KRISHNA HOSPITAL  M G CHITTOOR ROAD  COCHIN,Ernakulam,ANTIGEN,POINT(76.477804 10.052821),KRISHNA HOSPITAL  M G CHITTOOR ROAD  COCHIN  Ernakulam
79,Ernakulam Medical Centre Hospital (P Ltd,Ernakulam Medical Centre Hospital (P Ltd  Palarivattom  Kochi,Ernakulam,ANTIGEN,POINT(76.314531 9.999678),Ernakulam Medical Centre Hospital (P Ltd  Palarivattom  Kochi  Ernakulam
80,Meditech Diagnostic Centre,Meditech Diagnostic Centre  Silpa Complex  Muppathadam P O  Aluva,Ernakulam,ANTIGEN,POINT(76.282025 9.979982),Meditech Diagnostic Centre  Silpa Complex  Muppathadam P O  Aluva  Ernakulam
81,Vimala Hospital,Vimala Hospital  Kanjoor  Ernakulam,Ernakulam,ANTIGEN,POINT(76.424672 10.144605),Vimala Hospital  Kanjoor  Ernakulam  Ernakulam
82,Muvattupuzha Co-operative Super Speciality Hospital,Muvattupuzha Co-operative Super Speciality Hospital,Ernakulam,ANTIGEN,POINT( 76.5879500 9.9922306 ),Muvattupuzha Co-operative Super Speciality Hospital
83,Sangeeth Hospital,Sangeeth Hospital  Mattanchery PO  Ernakulam,Ernakulam,ANTIGEN,POINT( 76.2510000 9.9572806 ),Sangeeth Hospital  Mattanchery PO  Ernakulam
84,Medivision Scan & Diagnostic Research Centre Pvt Ltd,Medivision Scan & Diagnostic Research Centre Pvt Ltd  Ravipuram  Kochi,Ernakulam,ANTIGEN,POINT(77.649384 12.954825),Medivision Scan & Diagnostic Research Centre Pvt Ltd  Ravipuram  Kochi  Ernakulam
85,Santhula trust hospital,Santhula trust hospital  Vadakara PO  Koothattukulam  Ernakulam,Ernakulam,ANTIGEN,POINT(76.577693 9.988819),Santhula trust hospital  Vadakara PO  Koothattukulam  Ernakulam  Ernakulam
86,NEDUMCHALIL TRUST HOSPITAL,NEDUMCHALIL TRUST HOSPITAL MARKET P O MUVATTUPUZHA,Ernakulam,ANTIGEN,POINT(76.626624 10.013421),NEDUMCHALIL TRUST HOSPITAL MARKET P O MUVATTUPUZHA  Ernakulam
87,DEPARTMENT OF LABORATORY,DEPARTMENT OF LABORATORY  Shenoys CARE (P LTD  Near Nippon Toyota   Nettoor   Ernakulam,Ernakulam,ANTIGEN,POINT(76.425394 10.088329),DEPARTMENT OF LABORATORY  Shenoys CARE (P LTD  Near Nippon Toyota   Nettoor   Ernakulam  Ernakulam
88,Dr KUNHALUS NURSING HOME,Dr KUNHALUS NURSING HOME T D ROAD  ERNAKULAM,Ernakulam,ANTIGEN,POINT(76.526625 9.854811),Dr KUNHALUS NURSING HOME T D ROAD  ERNAKULAM  Ernakulam
89,Naveen Lab,Naveen Lab  Near Govt. Hospital  Perumbavoor  Ernakulam,Ernakulam,ANTIGEN,POINT( 76.4811972 10.1155944 ),Naveen Lab  Near Govt. Hospital  Perumbavoor  Ernakulam
90,PMM Hospital,PMM Hospital  Kalady  Kanjoor Road,Ernakulam,ANTIGEN,POINT(76.526625 9.854811),PMM Hospital  Kalady  Kanjoor Road  Ernakulam
91,VISHUS HI TECH DIAGNOSTIC CENTRE,VISHUS HI TECH DIAGNOSTIC CENTRE  Thundathil building  PWD road  SN junction  Nettoor- Madavana road  Ernakulam,Ernakulam,ANTIGEN,POINT(76.526625 9.854811),VISHUS HI TECH DIAGNOSTIC CENTRE  Thundathil building  PWD road  SN junction  Nettoor- Madavana road  Ernakulam  Ernakulam
92,Welcare Hospital,Welcare Hospital  SA Road  Vytila,Ernakulam,ANTIGEN,POINT(76.301096 9.999661),Welcare Hospital  SA Road  Vytila  Ernakulam
93,Devamatha Hospital,Devamatha Hospital  Koothattukulam  Ernakulam,Ernakulam,ANTIGEN,POINT(76.595315 9.865639),Devamatha Hospital  Koothattukulam  Ernakulam  Ernakulam
94,Najath Hospital,Najath Hospital  Bye Pass Junction  Aluva,Ernakulam,ANTIGEN,POINT(76.35157 10.110983),Najath Hospital  Bye Pass Junction  Aluva  Ernakulam
95,Anwar Memorial Hospital Health Laboratory,Anwar Memorial Hospital Health Laboratory  Santhosh Lane  Aluva,Ernakulam,ANTIGEN,POINT(76.383017 9.93341),Anwar Memorial Hospital Health Laboratory  Santhosh Lane  Aluva  Ernakulam
96,Apollo Adlux hospital,Apollo Adlux hospital  35/2  Cable junction  Karukutty post  Angamaly  Ernakulam,Ernakulam,ANTIGEN,POINT( 76.3724917 10.2396806 ),Apollo Adlux hospital  35/2  Cable junction  Karukutty post  Angamaly  Ernakulam
97,V.G.Saraf Memorial Hospital Pvt Ltd,V.G.Saraf Memorial Hospital Pvt Ltd  39/4603-A  Sreekandath  Road  Ravipuram,Ernakulam,ANTIGEN,POINT(76.526625 9.854811),V.G.Saraf Memorial Hospital Pvt Ltd  39/4603-A  Sreekandath  Road  Ravipuram  Ernakulam
98,Holy Family Hospital,Holy Family Hospital Muthalakodam  Idukki,Idukki,ANTIGEN,POINT(76.733642 9.912222),Holy Family Hospital Muthalakodam  Idukki  Idukki
99,Chazhikattu Hospitals pvt Ltd,Chazhikattu Hospitals pvt Ltd IX/139A River View Road Thodupuzha Idukki,Idukki,ANTIGEN,POINT(76.712615 9.939092),Chazhikattu Hospitals pvt Ltd IX/139A River View Road Thodupuzha Idukki  Idukki
100,St. Marys Health Care Pvt Ltd. Thodupuzha,St. Marys Health Care Pvt Ltd. Thodupuzha,Idukki,ANTIGEN,POINT(76.93771 9.896826),St. Marys Health Care Pvt Ltd. Thodupuzha  Idukki
101,Idukki District Co Operative Hospital ,Idukki District Co Operative Hospital   Thodupuzha,Idukki,ANTIGEN,POINT(77.061336 9.737047),Idukki District Co Operative Hospital   Thodupuzha  Idukki
102,Al Azhar Medical College & Hospital,Al Azhar Medical College & Hospital  Thodupuzha,Idukki,ANTIGEN,POINT( 76.7232611 9.9347861 ),Al Azhar Medical College & Hospital  Thodupuzha
103,St. John's Hospital,St. John's Hospital  Kattappana South P.O.  Idukki .,Idukki,ANTIGEN,POINT(77.109715 9.747013),St. John's Hospital  Kattappana South P.O.  Idukki .  Idukki
104,Alphonsa Hospital,Alphonsa Hospital  Murickassery  Idukki,Idukki,ANTIGEN,POINT(77.0092089 9.9135049),Alphonsa Hospital  Murickassery  Idukki  Idukki
105,Morning Star Medical Centre,Morning Star Medical Centre  Nazareth Hill  Adimaly  Idukki,Idukki,ANTIGEN,POINT(77.043171 9.992177),Morning Star Medical Centre  Nazareth Hill  Adimaly  Idukki  Idukki
106,Mundakayam Medical Trust Hospital,Mundakayam Medical Trust Hospital  Idukki,Idukki,ANTIGEN,POINT(76.908997 9.535144),Mundakayam Medical Trust Hospital  Idukki  Idukki
107,Karuna Hospital,Karuna Hospital  Thodupuzha  Idukki,Idukki,ANTIGEN,POINT(76.7469090807339 9.8378009),Karuna Hospital  Thodupuzha  Idukki  Idukki
108,SMART MEDIPLUS DIAGNOSTIC CENTRE,SMART MEDIPLUS DIAGNOSTIC CENTRE  Thodupuzha,Idukki,ANTIGEN,POINT( 76.7241944 9.9021417 ),SMART MEDIPLUS DIAGNOSTIC CENTRE  Thodupuzha
109,Medical Trust Hospital,Medical Trust Hospital  Nedumkandam  Idukki,Idukki,ANTIGEN,POINT(76.908997 9.535144),Medical Trust Hospital  Nedumkandam  Idukki  Idukki
110,SMART MEDIPLUS DIAGNOSTIC CENTRE,SMART MEDIPLUS DIAGNOSTIC CENTRE  KALLIKUZHY BUILDING  LIBRARY ROAD   ADIMALY,Idukki,ANTIGEN,POINT( 76.9588694 10.0128639 ),SMART MEDIPLUS DIAGNOSTIC CENTRE  KALLIKUZHY BUILDING  LIBRARY ROAD   ADIMALY
111,Aster MIMS Kannur,Aster MIMS Kannur,Kannur,ANTIGEN,POINT(75.429997335375 11.8391384),Aster MIMS Kannur  Kannur
112,St.Martin De Porres Hospital,St.Martin De Porres Hospital Cherukunnu Kannur,Kannur,ANTIGEN,POINT(75.3133685 11.9945472),St.Martin De Porres Hospital Cherukunnu Kannur  Kannur
113,Superspeciality Lab,Superspeciality Lab  Payyoli,Kannur,ANTIGEN,POINT(75.515001 11.781293),Superspeciality Lab  Payyoli  Kannur
114,THE LAB,THE LAB  LABORATORY AND SCANNING CENTRE  RAILWAY STATION ROAD  PAZHAYANGADI  KANNUR,Kannur,ANTIGEN,POINT(75.358829 11.862946),THE LAB  LABORATORY AND SCANNING CENTRE  RAILWAY STATION ROAD  PAZHAYANGADI  KANNUR  Kannur
115,Indira Gandhi Co-OP Hospital,Indira Gandhi Co-OP Hospital Manjodi  Thalassery  Kannur,Kannur,ANTIGEN,POINT(75.506134 11.746893),Indira Gandhi Co-OP Hospital Manjodi  Thalassery  Kannur  Kannur
116,AKG Memorial Co operative Hospital,AKG Memorial Co operative Hospital  Kannur,Kannur,ANTIGEN,POINT( 75.3730444 11.8851528 ),AKG Memorial Co operative Hospital  Kannur
117,THE PAYYANUR CO OPERATIVE HOSPITAL SOCIETY LTD,THE PAYYANUR CO OPERATIVE HOSPITAL SOCIETY LTD  SOUTH BAZAR  PAYYANUR  PAYYANUR PO  KANNUR,Kannur,ANTIGEN,POINT(75.548752 11.819047),THE PAYYANUR CO OPERATIVE HOSPITAL SOCIETY LTD  SOUTH BAZAR  PAYYANUR  PAYYANUR PO  KANNUR  Kannur
118,LEO CLINICAL DIAGNOSTIC CENTRE LLP ,LEO CLINICAL DIAGNOSTIC CENTRE LLP  Opp G mall  South Bazar Kannur,Kannur,ANTIGEN,POINT(75.358829 11.862946),LEO CLINICAL DIAGNOSTIC CENTRE LLP  Opp G mall  South Bazar Kannur  Kannur
119,CnC Hitech Lab,CnC Hitech Lab  Nr sub registrar office  Eripuram  Payangadi  Kannur,Kannur,ANTIGEN,POINT( 75.2659667 12.0298778 ),CnC Hitech Lab  Nr sub registrar office  Eripuram  Payangadi  Kannur
120,Gimcare Hospital,Gimcare Hospital Building No: 32/1094/1-8  Chala Bypass  Thottada (PO  Kannur,Kannur,ANTIGEN,POINT(75.426877 11.848199),Gimcare Hospital Building No: 32/1094/1-8  Chala Bypass  Thottada (PO  Kannur  Kannur
121,Taliparamba Co-operative Hospital Society,Taliparamba Co-operative Hospital Society  Taliparamba,Kannur,ANTIGEN,POINT(75.37284 12.04359),Taliparamba Co-operative Hospital Society  Taliparamba  Kannur
122,Lourde Hospital,Lourde Hospital  Thalliparamba  Kannur,Kannur,ANTIGEN,POINT(75.355537 12.041544),Lourde Hospital  Thalliparamba  Kannur  Kannur
123,Koyili Hospital,Koyili Hospital  Talap  Kannur,Kannur,ANTIGEN,POINT(75.3708095419588 11.88719365),Koyili Hospital  Talap  Kannur  Kannur
